ctyname,trct,S000
"Albany County, NY",36001000100,1009
"Albany County, NY",36001000200,2098
"Albany County, NY",36001000300,2650
"Albany County, NY",36001000401,876
"Albany County, NY",36001000403,2279
"Albany County, NY",36001000404,628
"Albany County, NY",36001000501,1536
"Albany County, NY",36001000502,1053
"Albany County, NY",36001000600,1266
"Albany County, NY",36001000700,1505
"Albany County, NY",36001000800,768
"Albany County, NY",36001001100,683
"Albany County, NY",36001001400,1851
"Albany County, NY",36001001500,1758
"Albany County, NY",36001001600,1755
"Albany County, NY",36001001700,2018
"Albany County, NY",36001001801,3461
"Albany County, NY",36001001802,1946
"Albany County, NY",36001001901,1296
"Albany County, NY",36001001902,1476
"Albany County, NY",36001002000,2795
"Albany County, NY",36001002100,1485
"Albany County, NY",36001002200,1100
"Albany County, NY",36001002300,891
"Albany County, NY",36001002500,1200
"Albany County, NY",36001002600,2309
"Albany County, NY",36001012700,1508
"Albany County, NY",36001012800,1616
"Albany County, NY",36001012900,1600
"Albany County, NY",36001013000,3255
"Albany County, NY",36001013100,1339
"Albany County, NY",36001013200,1429
"Albany County, NY",36001013300,2090
"Albany County, NY",36001013400,1332
"Albany County, NY",36001013503,2788
"Albany County, NY",36001013505,1447
"Albany County, NY",36001013506,3534
"Albany County, NY",36001013507,1427
"Albany County, NY",36001013508,3577
"Albany County, NY",36001013601,4112
"Albany County, NY",36001013602,2256
"Albany County, NY",36001013703,1061
"Albany County, NY",36001013705,3522
"Albany County, NY",36001013706,1097
"Albany County, NY",36001013707,3011
"Albany County, NY",36001013801,3844
"Albany County, NY",36001013802,2512
"Albany County, NY",36001013901,1456
"Albany County, NY",36001013902,2889
"Albany County, NY",36001014001,2102
"Albany County, NY",36001014002,2280
"Albany County, NY",36001014100,2727
"Albany County, NY",36001014201,3005
"Albany County, NY",36001014202,2905
"Albany County, NY",36001014203,3020
"Albany County, NY",36001014301,1317
"Albany County, NY",36001014302,4086
"Albany County, NY",36001014401,1767
"Albany County, NY",36001014402,1632
"Albany County, NY",36001014501,1377
"Albany County, NY",36001014502,1699
"Albany County, NY",36001014503,1462
"Albany County, NY",36001014606,2021
"Albany County, NY",36001014607,4183
"Albany County, NY",36001014608,1550
"Albany County, NY",36001014609,2470
"Albany County, NY",36001014611,1148
"Albany County, NY",36001014612,794
"Albany County, NY",36001014613,1444
"Albany County, NY",36001014614,2692
"Albany County, NY",36001014615,1052
"Albany County, NY",36001014700,1271
"Albany County, NY",36001014801,1336
"Albany County, NY",36001014802,762
"Albany County, NY",36001014803,1320
"Allegany County, NY",36003940200,39
"Allegany County, NY",36003950100,952
"Allegany County, NY",36003950300,1415
"Allegany County, NY",36003950400,1363
"Allegany County, NY",36003950500,1513
"Allegany County, NY",36003950600,1555
"Allegany County, NY",36003950700,1469
"Allegany County, NY",36003950800,1534
"Allegany County, NY",36003950900,1561
