4 digit NTD ID,Year,w_cty,h_cty,Modes,Sum of Total no of jobs,Average of Avg(Trip_Count)
2183,2002,36055,36001,DR,7553744,648153.04
2187,2002,36055,36001,MB,7553744,648153.04
2183,2002,36055,36003,DR,5925392,648153.04
2187,2002,36055,36003,MB,5925392,648153.04
2183,2002,36055,36005,DR,565400,648153.04
2187,2002,36055,36005,MB,565400,648153.04
2183,2002,36055,36007,DR,20908492,648153.04
2187,2002,36055,36007,MB,20908492,648153.04
2183,2002,36055,36009,DR,10177200,648153.04
2187,2002,36055,36009,MB,10177200,648153.04
2183,2002,36055,36011,DR,13954072,648153.04
2187,2002,36055,36011,MB,13954072,648153.04
2183,2002,36055,36013,DR,9396948,648153.04
2187,2002,36055,36013,MB,9396948,648153.04
2183,2002,36055,36015,DR,13026816,648153.04
2187,2002,36055,36015,MB,13026816,648153.04
2183,2002,36055,36017,DR,5450456,648153.04
2187,2002,36055,36017,MB,5450456,648153.04
2183,2002,36055,36019,DR,2046748,648153.04
2187,2002,36055,36019,MB,2046748,648153.04
2183,2002,36055,36021,DR,802868,648153.04
2187,2002,36055,36021,MB,802868,648153.04
2183,2002,36055,36023,DR,4930288,648153.04
2187,2002,36055,36023,MB,4930288,648153.04
2183,2002,36055,36025,DR,474936,648153.04
2187,2002,36055,36025,MB,474936,648153.04
2183,2002,36055,36027,DR,859408,648153.04
2187,2002,36055,36027,MB,859408,648153.04
2183,2002,36055,36029,DR,133830180,648153.04
2187,2002,36055,36029,MB,133830180,648153.04
2183,2002,36055,36031,DR,1187340,648153.04
2187,2002,36055,36031,MB,1187340,648153.04
2183,2002,36055,36033,DR,1176032,648153.04
2187,2002,36055,36033,MB,1176032,648153.04
2183,2002,36055,36035,DR,1436116,648153.04
2187,2002,36055,36035,MB,1436116,648153.04
2183,2002,36055,36037,DR,70889852,648153.04
2187,2002,36055,36037,MB,70889852,648153.04
2183,2002,36055,36039,DR,599324,648153.04
2187,2002,36055,36039,MB,599324,648153.04
2183,2002,36055,36041,DR,113080,648153.04
2187,2002,36055,36041,MB,113080,648153.04
2183,2002,36055,36043,DR,1865820,648153.04
2187,2002,36055,36043,MB,1865820,648153.04
2183,2002,36055,36045,DR,3132316,648153.04
2187,2002,36055,36045,MB,3132316,648153.04
2183,2002,36055,36047,DR,1311728,648153.04
2187,2002,36055,36047,MB,1311728,648153.04
2183,2002,36055,36049,DR,678480,648153.04
2187,2002,36055,36049,MB,678480,648153.04
2183,2002,36055,36051,DR,127565548,648153.04
2187,2002,36055,36051,MB,127565548,648153.04
2183,2002,36055,36053,DR,8458384,648153.04
2187,2002,36055,36053,MB,8458384,648153.04
2183,2002,36055,36057,DR,1922360,648153.04
2187,2002,36055,36057,MB,1922360,648153.04
2183,2002,36055,36059,DR,1458732,648153.04
2187,2002,36055,36059,MB,1458732,648153.04
2183,2002,36055,36061,DR,1944976,648153.04
2187,2002,36055,36061,MB,1944976,648153.04
2183,2002,36055,36063,DR,32725352,648153.04
2187,2002,36055,36063,MB,32725352,648153.04
2183,2002,36055,36065,DR,6411636,648153.04
2187,2002,36055,36065,MB,6411636,648153.04
2183,2002,36055,36067,DR,81134900,648153.04
2187,2002,36055,36067,MB,81134900,648153.04
2183,2002,36055,36069,DR,171994680,648153.04
2187,2002,36055,36069,MB,171994680,648153.04
2183,2002,36055,36071,DR,1470040,648153.04
2187,2002,36055,36071,MB,1470040,648153.04
2183,2002,36055,36073,DR,73219300,648153.04
2187,2002,36055,36073,MB,73219300,648153.04
2183,2002,36055,36075,DR,18737356,648153.04
2187,2002,36055,36075,MB,18737356,648153.04
2183,2002,36055,36077,DR,735020,648153.04
2187,2002,36055,36077,MB,735020,648153.04
2183,2002,36055,36079,DR,361856,648153.04
2187,2002,36055,36079,MB,361856,648153.04
2183,2002,36055,36081,DR,4308348,648153.04
2187,2002,36055,36081,MB,4308348,648153.04
2183,2002,36055,36083,DR,3878644,648153.04
2187,2002,36055,36083,MB,3878644,648153.04
2183,2002,36055,36085,DR,226160,648153.04
2187,2002,36055,36085,MB,226160,648153.04
2183,2002,36055,36087,DR,135696,648153.04
2187,2002,36055,36087,MB,135696,648153.04
2183,2002,36055,36089,DR,3301936,648153.04
2187,2002,36055,36089,MB,3301936,648153.04
2183,2002,36055,36091,DR,5371300,648153.04
2187,2002,36055,36091,MB,5371300,648153.04
2183,2002,36055,36093,DR,3618560,648153.04
2187,2002,36055,36093,MB,3618560,648153.04
2183,2002,36055,36095,DR,384472,648153.04
2187,2002,36055,36095,MB,384472,648153.04
2183,2002,36055,36097,DR,2781768,648153.04
2187,2002,36055,36097,MB,2781768,648153.04
2183,2002,36055,36099,DR,3324552,648153.04
2187,2002,36055,36099,MB,3324552,648153.04
2183,2002,36055,36101,DR,27139200,648153.04
2187,2002,36055,36101,MB,27139200,648153.04
2183,2002,36055,36103,DR,2465144,648153.04
2187,2002,36055,36103,MB,2465144,648153.04
2183,2002,36055,36105,DR,667172,648153.04
2187,2002,36055,36105,MB,667172,648153.04
2183,2002,36055,36107,DR,5246912,648153.04
2187,2002,36055,36107,MB,5246912,648153.04
2183,2002,36055,36109,DR,10131968,648153.04
2187,2002,36055,36109,MB,10131968,648153.04
2183,2002,36055,36111,DR,768944,648153.04
2187,2002,36055,36111,MB,768944,648153.04
2183,2002,36055,36113,DR,1809280,648153.04
2187,2002,36055,36113,MB,1809280,648153.04
2183,2002,36055,36115,DR,1662276,648153.04
2187,2002,36055,36115,MB,1662276,648153.04
2183,2002,36055,36117,DR,200886620,648153.04
2187,2002,36055,36117,MB,200886620,648153.04
2183,2002,36055,36119,DR,3392400,648153.04
2187,2002,36055,36119,MB,3392400,648153.04
2183,2002,36055,36121,DR,26076248,648153.04
2187,2002,36055,36121,MB,26076248,648153.04
2183,2002,36055,36123,DR,6875264,648153.04
2187,2002,36055,36123,MB,6875264,648153.04
2183,2003,36055,36001,DR,7282352,648153.0399999999
2187,2003,36055,36001,MB,7282352,648153.04
2183,2003,36055,36003,DR,5631384,648153.0399999999
2187,2003,36055,36003,MB,5631384,648153.04
2183,2003,36055,36005,DR,441012,648153.0399999999
2187,2003,36055,36005,MB,441012,648153.04
2183,2003,36055,36007,DR,20467480,648153.0399999999
2187,2003,36055,36007,MB,20467480,648153.04
2183,2003,36055,36009,DR,9702264,648153.0399999999
2187,2003,36055,36009,MB,9702264,648153.04
2183,2003,36055,36011,DR,13286900,648153.0399999999
2187,2003,36055,36011,MB,13286900,648153.04
2183,2003,36055,36013,DR,10278972,648153.0399999999
2187,2003,36055,36013,MB,10278972,648153.04
2183,2003,36055,36015,DR,13546984,648153.0399999999
2187,2003,36055,36015,MB,13546984,648153.04
2183,2003,36055,36017,DR,5348684,648153.0399999999
2187,2003,36055,36017,MB,5348684,648153.04
2183,2003,36055,36019,DR,2340756,648153.0399999999
2187,2003,36055,36019,MB,2340756,648153.04
2183,2003,36055,36021,DR,542784,648153.0399999999
2187,2003,36055,36021,MB,542784,648153.04
2183,2003,36055,36023,DR,5179064,648153.0399999999
2187,2003,36055,36023,MB,5179064,648153.04
2183,2003,36055,36025,DR,667172,648153.0399999999
2187,2003,36055,36025,MB,667172,648153.04
2183,2003,36055,36027,DR,1051644,648153.0399999999
2187,2003,36055,36027,MB,1051644,648153.04
2183,2003,36055,36029,DR,135175832,648153.0399999999
2187,2003,36055,36029,MB,135175832,648153.04
2183,2003,36055,36031,DR,927256,648153.0399999999
2187,2003,36055,36031,MB,927256,648153.04
2183,2003,36055,36033,DR,1470040,648153.0399999999
